Id_Advice,Id_Sample,F1-Score,Accuracy,Number_Conflicts
440,3823,86.36363983154297,76.47035217285156,30297
441,3825,86.36363983154297,76.1917724609375,30497
442,3827,86.36363983154297,76.82060241699219,30218
443,3829,88.26815795898438,79.03588104248047,29781
444,3830,87.64044952392578,78.6646728515625,29347
445,3832,87.64044952392578,78.29379272460938,29972
446,3833,86.36363983154297,76.29763793945312,30036
447,3837,87.00565338134766,77.73240661621094,29087
448,3839,87.64044952392578,78.58775329589844,30123
449,3840,86.36363983154297,76.18275451660156,30395
450,3842,87.00565338134766,77.53529357910156,29574
451,3551,86.36363983154297,76.4366226196289,29799
452,3552,86.36363983154297,76.57117462158203,29669
453,3553,88.26815795898438,79.3319091796875,29931
454,3555,85.71428680419922,75.28852081298828,30209
455,3556,88.26815795898438,79.04483795166016,29330
456,3558,88.26815795898438,79.267578125,29570
457,3564,87.64044952392578,78.61062622070312,29982
458,3565,87.64044952392578,78.45521545410156,29763
459,3570,86.36363983154297,76.01702880859375,30038
460,3573,88.26815795898438,79.62906646728516,29730
461,3574,87.00565338134766,77.19830322265625,30078
462,3577,88.88888549804688,80.15110778808594,29118
463,3578,87.64044952392578,78.27161407470703,30925
464,3579,85.71428680419922,75.68657684326172,30518
465,3582,86.36363983154297,76.13793182373047,29572
466,3583,87.00565338134766,77.82625579833984,30903
467,3954,85.71428680419922,75.27428436279297,30945
468,3585,86.36363983154297,76.07813262939453,30367
469,3961,87.00565338134766,77.8590087890625,29594
470,3587,87.64044952392578,78.51420593261719,28948
471,3962,87.64044952392578,78.66441345214844,29888
472,3963,88.26815795898438,79.12488555908203,29189
473,4187,87.00565338134766,77.53858947753906,29881
474,4188,88.26815795898438,79.84870910644531,28943
475,4189,86.36363983154297,76.76100158691406,30347
476,4190,86.36363983154297,76.44683837890625,30324
477,4192,87.00565338134766,77.99199676513672,30294
478,4193,87.00565338134766,77.25192260742188,29896
479,4194,87.64044952392578,78.50357818603516,30450
480,4196,85.71428680419922,75.57363891601562,30920
481,4197,87.00565338134766,77.22566223144531,29491
482,4199,87.64044952392578,78.7196044921875,29615
483,4200,85.71428680419922,75.21832275390625,30665
